dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
twitter,bayes_aes_id,ratiorange,78931,3.18384,1499696,74.79158,26234880,0.74245,0,753487,0.7108781036819257,0.8215005700164701
twitter,bayes_aes_id,ratiorange,78931,3.18384,1499696,74.79158,26234880,0.74245,1,746209,0.7861583322203779,0.6626280304847569
twitter,bayes_aes_id,ratiorange,157862,5.40821,1420765,71.69301,45973504,0.74608,0,721516,0.7157115522602249,0.8294729430809573
twitter,bayes_aes_id,ratiorange,157862,5.40821,1420765,71.69301,45973504,0.74608,1,699249,0.7895221232882571,0.6600324061957901
twitter,bayes_aes_id,ratiorange,236794,8.52323,1341833,67.91019,65208320,0.7502,0,689110,0.7236135629287698,0.8309863447054897
twitter,bayes_aes_id,ratiorange,236794,8.52323,1341833,67.91019,65208320,0.7502,1,652723,0.7884189874107581,0.6649083914616154
twitter,bayes_aes_id,ratiorange,315725,10.45469,1262902,64.44611,83906560,0.75293,0,656472,0.7306802610835261,0.8309752738882998
twitter,bayes_aes_id,ratiorange,315725,10.45469,1262902,64.44611,83906560,0.75293,1,606430,0.7850949312540068,0.6684382368946127
twitter,bayes_aes_id,ratiorange,394656,13.77923,1183971,61.10019,100921344,0.7546,0,624035,0.7354023254632008,0.8347432435680691
twitter,bayes_aes_id,ratiorange,394656,13.77923,1183971,61.10019,100921344,0.7546,1,559936,0.7831843057444827,0.6652778174648531
twitter,bayes_aes_id,ratiorange,473588,15.7712,1105039,56.66938,118181888,0.75645,0,591844,0.740665555964901,0.83903359669102
twitter,bayes_aes_id,ratiorange,473588,15.7712,1105039,56.66938,118181888,0.75645,1,513195,0.7807897982475517,0.661200908036906
twitter,bayes_aes_id,ratiorange,552519,17.4393,1026108,52.7651,131887104,0.75934,0,557666,0.7448851241441056,0.8474122503433955
twitter,bayes_aes_id,ratiorange,552519,17.4393,1026108,52.7651,131887104,0.75934,1,468442,0.7827508910243972,0.654490844117308
twitter,bayes_aes_id,ratiorange,631450,20.66462,947177,48.81363,140873728,0.76494,0,516016,0.7489722621096548,0.8551343369197855
twitter,bayes_aes_id,ratiorange,631450,20.66462,947177,48.81363,140873728,0.76494,1,431161,0.7912038187917401,0.6569842819735551
twitter,bayes_aes_id,ratiorange,710382,21.77724,868245,44.56772,148815872,0.76979,0,475170,0.755376703179268,0.8568343961108655
twitter,bayes_aes_id,ratiorange,710382,21.77724,868245,44.56772,148815872,0.76979,1,393075,0.7933868484114039,0.6645678305666858
twitter,bayes_aes_id,ratiorange,789313,23.14275,789314,40.74577,157437952,0.77403,0,439684,0.7637713254427597,0.860483892977684
twitter,bayes_aes_id,ratiorange,789313,23.14275,789314,40.74577,157437952,0.77403,1,349630,0.7913183990746883,0.6653090409861854
twitter,bayes_aes_id,ratiorange,868244,23.70781,710383,36.81371,165097472,0.77453,0,394215,0.7638608603891346,0.859353398526185
twitter,bayes_aes_id,ratiorange,868244,23.70781,710383,36.81371,165097472,0.77453,1,316168,0.7922521226291376,0.6687615444953317
twitter,bayes_aes_id,ratiorange,947176,24.78521,631451,32.88358,170795008,0.77586,0,347422,0.7660520820411032,0.8531612851229916
twitter,bayes_aes_id,ratiorange,947176,24.78521,631451,32.88358,170795008,0.77586,1,284029,0.7913693190415626,0.6812966281612088
twitter,bayes_aes_id,ratiorange,1026107,25.96128,552520,28.81754,177164288,0.7788,0,305633,0.7722126909308938,0.8512169824593548
twitter,bayes_aes_id,ratiorange,1026107,25.96128,552520,28.81754,177164288,0.7788,1,246887,0.789103878154885,0.6891614382288254
twitter,bayes_aes_id,ratiorange,1105038,27.17117,473589,24.93232,184139776,0.77951,0,262483,0.7727722994405077,0.8529809549570829
twitter,bayes_aes_id,ratiorange,1105038,27.17117,473589,24.93232,184139776,0.77951,1,211106,0.7901143248740904,0.6881471867213628
twitter,bayes_aes_id,ratiorange,1183970,30.8749,394657,20.53084,191401984,0.78223,0,220076,0.7767036757394594,0.8553954088587579
twitter,bayes_aes_id,ratiorange,1183970,30.8749,394657,20.53084,191401984,0.78223,1,174581,0.7910220377715321,0.6899949020798368
twitter,bayes_aes_id,ratiorange,1262901,31.88622,315726,16.40974,198250496,0.78271,0,176762,0.7775320109825254,0.8571186114662653
twitter,bayes_aes_id,ratiorange,1262901,31.88622,315726,16.40974,198250496,0.78271,1,138964,0.791049962356562,0.6880558993696209
twitter,bayes_aes_id,ratiorange,1341832,32.95689,236795,12.33473,204365824,0.78479,0,133206,0.7770307594885545,0.865906941128778
twitter,bayes_aes_id,ratiorange,1341832,32.95689,236795,12.33473,204365824,0.78479,1,103589,0.7978336898577297,0.6804873104287135
twitter,bayes_aes_id,ratiorange,1420764,33.82207,157863,8.2205,210104320,0.79025,0,92954,0.7927252805306358,0.8717214966542591
twitter,bayes_aes_id,ratiorange,1420764,33.82207,157863,8.2205,210104320,0.79025,1,64909,0.7857168529633757,0.6735891786963287
twitter,bayes_aes_id,ratiorange,1499695,34.72551,78932,4.12657,215195648,0.78786,0,46630,0.7934216985763377,0.8665022517692472
twitter,bayes_aes_id,ratiorange,1499695,34.72551,78932,4.12657,215195648,0.78786,1,32302,0.777734137894098,0.674323571295895
dataset,classifier,splitter,train_size,train_time,eval_size,eval_time,classifier_size,accuracy,class,class_size,precision,recall
twitter,bayes,ratiorange,78931,3.39335,1499696,107.07946,15495168,0.74042,0,753487,0.6932323550665813,0.8670209306862626
twitter,bayes,ratiorange,78931,3.39335,1499696,107.07946,15495168,0.74042,1,746209,0.8202129854750007,0.6125857501048634
twitter,bayes,ratiorange,157862,4.77404,1420765,99.80566,22208512,0.74011,0,721516,0.6914308816912613,0.8817517560248144
twitter,bayes,ratiorange,157862,4.77404,1420765,99.80566,22208512,0.74011,1,699249,0.8295845176341814,0.5939643817867455
twitter,bayes,ratiorange,236794,6.08276,1341833,94.26398,28225536,0.74344,0,689110,0.6975445840388798,0.8835294800539827
twitter,bayes,ratiorange,236794,6.08276,1341833,94.26398,28225536,0.74344,1,652723,0.8288630601701114,0.5955451240418983
twitter,bayes,ratiorange,315725,7.61381,1262902,88.93501,33640448,0.74635,0,656472,0.7037402505461149,0.8843149441255682
twitter,bayes,ratiorange,315725,7.61381,1262902,88.93501,33640448,0.74635,1,606430,0.8266055381018484,0.5970021272034695
twitter,bayes,ratiorange,394656,8.96195,1183971,83.11962,38428672,0.747,0,624035,0.7068449630093309,0.8884758066454606
twitter,bayes,ratiorange,394656,8.96195,1183971,83.11962,38428672,0.747,1,559936,0.8258313646192039,0.5893334238198651
twitter,bayes,ratiorange,473588,10.47585,1105039,77.87254,42995712,0.74826,0,591844,0.7112166373521592,0.8922858050432209
twitter,bayes,ratiorange,473588,10.47585,1105039,77.87254,42995712,0.74826,1,513195,0.8241461779723434,0.5821705199777862
twitter,bayes,ratiorange,552519,12.96434,1026108,71.7962,48054272,0.74965,0,557666,0.7142663784886611,0.8989789587315705
twitter,bayes,ratiorange,552519,12.96434,1026108,71.7962,48054272,0.74965,1,468442,0.8262451924114895,0.571876561025698
twitter,bayes,ratiorange,631450,14.50551,947177,66.31118,54206464,0.75535,0,516016,0.7194534717665676,0.9030882763325169
